state_order,state_mm,remaining_passes,rpra_action_mm,rpra_immediate_deflection_um,rpra_successor_mm,rpra_discrete_class,rpra_selected_continuous_status,rpra_selected_continuous_detail,online_decision_status,online_action_mm,online_immediate_deflection_um,online_successor_mm,online_discrete_class,online_selected_continuous_status,exact_action_agreement,signed_action_delta_um_online_minus_rpra,absolute_action_difference_um,immediate_deflection_delta_um_rpra_minus_online,disagreement_classification,rpra_local_candidate_count,rpra_preserving_candidate_count,online_local_candidate_count,online_continuous_solve_calls,online_downstream_pass_count_evaluated,online_downstream_fail_count_evaluated,online_downstream_unresolved_count_evaluated
15,4.195,3,0.36,52.4070000008842,3.835,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.4070000008842,3.835,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,16,16,16,1,1,0,0
16,4.196,3,0.36,52.36602502228619,3.836,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.36602502228619,3.836,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,17,17,17,1,1,0,0
17,4.197,3,0.36,52.325092748197044,3.837,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.325092748197044,3.837,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,18,18,18,1,1,0,0
18,4.198,3,0.36,52.284203122997496,3.838,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.284203122997496,3.838,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,19,19,19,1,1,0,0
19,4.199,3,0.36,52.24335609115513,3.839,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.24335609115513,3.839,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,20,20,20,1,1,0,0
20,4.2,3,0.36,52.20255159722428,3.84,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.20255159722428,3.84,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,21,21,21,1,1,0,0
21,4.201,3,0.36,52.16178958584585,3.841,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.16178958584585,3.841,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,22,22,22,1,1,0,0
22,4.202,3,0.36,52.12107000174724,3.842,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.12107000174724,3.842,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,23,23,23,1,1,0,0
23,4.203,3,0.36,52.0803927897421,3.843,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,52.0803927897421,3.843,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,24,24,24,1,1,0,0
24,4.204,3,0.36,52.03975789473015,3.844,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,52.03975789473015,3.844,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,25,25,25,1,1,0,0
25,4.205,3,0.36,51.99916526169709,3.845,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.99916526169709,3.845,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,26,26,26,1,1,0,0
26,4.206,3,0.36,51.95861483571447,3.846,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.95861483571447,3.846,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,27,27,27,1,1,0,0
27,4.207,3,0.36,51.91810656193943,3.847,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.91810656193943,3.847,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,28,28,28,1,1,0,0
28,4.208,3,0.36,51.87764038561463,3.848,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.87764038561463,3.848,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,29,29,29,1,1,0,0
29,4.209,3,0.36,51.83721625206807,3.849,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.83721625206807,3.849,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,30,30,30,1,1,0,0
30,4.21,3,0.36,51.79683410671292,3.85,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.79683410671292,3.85,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,31,31,31,1,1,0,0
31,4.211,3,0.36,51.756493895047356,3.851,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.756493895047356,3.851,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,32,32,32,1,1,0,0
32,4.212,3,0.36,51.71619556265447,3.852,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,51.71619556265447,3.852,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,33,33,33,1,1,0,0
33,4.213,3,0.36,51.675939055202036,3.853,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.675939055202036,3.853,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,34,34,34,1,1,0,0
34,4.214,3,0.36,51.63572431844241,3.854,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.63572431844241,3.854,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,35,35,35,1,1,0,0
35,4.215,3,0.36,51.59555129821238,3.855,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.59555129821238,3.855,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,36,36,36,1,1,0,0
36,4.216,3,0.36,51.55541994043291,3.856,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.55541994043291,3.856,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,37,37,37,1,1,0,0
37,4.217,3,0.36,51.515330191109136,3.857,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.515330191109136,3.857,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,38,38,38,1,1,0,0
38,4.218,3,0.36,51.475281996330175,3.858,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,51.475281996330175,3.858,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,39,39,39,1,1,0,0
39,4.219,3,0.36,51.43527530226886,3.859,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.43527530226886,3.859,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,40,40,40,1,1,0,0
40,4.22,3,0.36,51.39531005518171,3.86,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.39531005518171,3.86,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,41,41,41,1,1,0,0
41,4.221,3,0.36,51.35538620140876,3.861,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.35538620140876,3.861,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,42,42,42,1,1,0,0
42,4.222,3,0.36,51.315503687373365,3.862,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.315503687373365,3.862,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,43,43,43,1,1,0,0
43,4.223,3,0.36,51.275662459582094,3.863,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.275662459582094,3.863,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,44,44,44,1,1,0,0
44,4.224,3,0.36,51.2358624646245,3.864,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.2358624646245,3.864,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,45,45,45,1,1,0,0
45,4.225,3,0.36,51.196103649173104,3.865,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.196103649173104,3.865,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,46,46,46,1,1,0,0
46,4.226,3,0.36,51.15638595998316,3.866,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,51.15638595998316,3.866,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,47,47,47,1,1,0,0
47,4.227,3,0.36,51.11670934389245,3.867,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.11670934389245,3.867,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,48,48,48,1,1,0,0
48,4.228,3,0.36,51.077073747821274,3.868,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.077073747821274,3.868,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,49,49,49,1,1,0,0
49,4.229,3,0.36,51.03747911877214,3.869,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,51.03747911877214,3.869,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,50,50,50,1,1,0,0
50,4.23,3,0.36,50.99792540382983,3.87,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.99792540382983,3.87,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,51,51,51,1,1,0,0
51,4.231,3,0.36,50.958412550161015,3.871,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.958412550161015,3.871,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,52,52,52,1,1,0,0
52,4.232,3,0.36,50.918940505014255,3.872,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.918940505014255,3.872,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,53,53,53,1,1,0,0
53,4.233,3,0.36,50.87950921571976,3.873,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.87950921571976,3.873,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,54,54,54,1,1,0,0
54,4.234,3,0.36,50.84011862968941,3.874,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.84011862968941,3.874,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,55,55,55,1,1,0,0
55,4.235,3,0.36,50.80076869441637,3.875,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.80076869441637,3.875,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,56,56,56,1,1,0,0
56,4.236,3,0.36,50.761459357475125,3.876,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.761459357475125,3.876,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,57,57,57,1,1,0,0
57,4.237,3,0.36,50.72219056652126,3.877,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.72219056652126,3.877,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,58,58,58,1,1,0,0
58,4.238,3,0.36,50.68296226929129,3.878,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.68296226929129,3.878,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,59,59,59,1,1,0,0
59,4.239,3,0.36,50.64377441360266,3.879,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.64377441360266,3.879,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,60,60,60,1,1,0,0
60,4.24,3,0.36,50.604626947353346,3.88,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.604626947353346,3.88,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,61,61,61,1,1,0,0
61,4.241,3,0.36,50.56551981852196,3.881,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.56551981852196,3.881,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,62,62,62,1,1,0,0
62,4.242,3,0.36,50.526452975167395,3.882,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.526452975167395,3.882,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,63,63,63,1,1,0,0
63,4.243,3,0.36,50.487426365428945,3.883,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.487426365428945,3.883,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,64,64,64,1,1,0,0
64,4.244,3,0.36,50.44843993752582,3.884,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.44843993752582,3.884,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,65,65,65,1,1,0,0
65,4.245,3,0.36,50.40949363975729,3.885,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.40949363975729,3.885,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,66,66,66,1,1,0,0
66,4.246,3,0.36,50.37058742050237,3.886,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.37058742050237,3.886,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,67,67,67,1,1,0,0
67,4.247,3,0.36,50.3317212282198,3.887,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.3317212282198,3.887,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,68,68,68,1,1,0,0
68,4.248,3,0.36,50.29289501144779,3.888,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.29289501144779,3.888,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,69,69,69,1,1,0,0
69,4.249,3,0.36,50.25410871880395,3.889,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.25410871880395,3.889,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,70,70,70,1,1,0,0
70,4.25,3,0.36,50.215362298985056,3.89,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.215362298985056,3.89,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,71,71,71,1,1,0,0
71,4.251,3,0.36,50.17665570076711,3.891,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.17665570076711,3.891,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,72,72,72,1,1,0,0
72,4.252,3,0.36,50.13798887300495,3.892,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.13798887300495,3.892,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,73,73,73,1,1,0,0
73,4.253,3,0.36,50.09936176463223,3.893,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,50.09936176463223,3.893,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,74,74,74,1,1,0,0
74,4.254,3,0.36,50.06077432466129,3.894,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.06077432466129,3.894,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,75,75,75,1,1,0,0
75,4.255,3,0.36,50.02222650218303,3.895,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,50.02222650218303,3.895,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,76,76,76,1,1,0,0
76,4.256,3,0.36,49.983718246366685,3.896,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.983718246366685,3.896,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,77,77,77,1,1,0,0
77,4.257,3,0.36,49.94524950645972,3.897,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.94524950645972,3.897,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,78,78,78,1,1,0,0
78,4.258,3,0.36,49.906820231787734,3.898,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.906820231787734,3.898,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,79,79,79,1,1,0,0
79,4.259,3,0.36,49.86843037175427,3.899,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.86843037175427,3.899,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,80,80,80,1,1,0,0
80,4.26,3,0.36,49.83007987584073,3.9,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.83007987584073,3.9,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,81,81,81,1,1,0,0
81,4.261,3,0.36,49.79176869360613,3.901,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.79176869360613,3.901,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,82,82,82,1,1,0,0
82,4.262,3,0.36,49.75349677468705,3.902,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.75349677468705,3.902,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,83,83,83,1,1,0,0
83,4.263,3,0.36,49.71526406879751,3.903,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.71526406879751,3.903,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,84,84,84,1,1,0,0
84,4.264,3,0.36,49.67707052572877,3.904,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.67707052572877,3.904,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,85,85,85,1,1,0,0
85,4.265,3,0.36,49.638916095349224,3.905,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.638916095349224,3.905,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,86,86,86,1,1,0,0
86,4.266,3,0.36,49.60080072760419,3.906,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.60080072760419,3.906,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,87,87,87,1,1,0,0
87,4.267,3,0.36,49.56272437251595,3.907,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.56272437251595,3.907,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,88,88,88,1,1,0,0
88,4.268,3,0.36,49.52468698018341,3.908,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.52468698018341,3.908,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,89,89,89,1,1,0,0
89,4.269,3,0.36,49.48668850078208,3.909,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.48668850078208,3.909,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,90,90,90,1,1,0,0
90,4.27,3,0.36,49.4487288845639,3.91,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.4487288845639,3.91,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,91,91,91,1,1,0,0
91,4.271,3,0.36,49.41080808185711,3.911,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.41080808185711,3.911,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,92,92,92,1,1,0,0
92,4.272,3,0.36,49.37292604306616,3.912,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.37292604306616,3.912,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,93,93,93,1,1,0,0
93,4.273,3,0.36,49.335082718671444,3.913,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.335082718671444,3.913,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,94,94,94,1,1,0,0
94,4.274,3,0.36,49.29727805922929,3.914,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.29727805922929,3.914,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,95,95,95,1,1,0,0
95,4.275,3,0.36,49.25951201537183,3.915,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.25951201537183,3.915,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,96,96,96,1,1,0,0
96,4.276,3,0.36,49.221784537806734,3.916,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.221784537806734,3.916,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,97,97,97,1,1,0,0
97,4.277,3,0.36,49.18409557731721,3.917,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.18409557731721,3.917,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,98,98,98,1,1,0,0
98,4.278,3,0.36,49.14644508476175,3.918,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_non_success,PASS,0.36,49.14644508476175,3.918,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,99,99,99,1,1,0,0
99,4.279,3,0.36,49.108833011074196,3.919,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.108833011074196,3.919,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,100,100,100,1,1,0,0
100,4.28,3,0.36,49.071259307263354,3.92,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.071259307263354,3.92,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,101,101,101,1,1,0,0
101,4.281,3,0.36,49.03372392441303,3.921,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,49.03372392441303,3.921,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,102,102,102,1,1,0,0
102,4.282,3,0.36,48.99622681368178,3.922,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,48.99622681368178,3.922,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,103,103,103,1,1,0,0
103,4.283,3,0.36,48.958767926302954,3.923,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,48.958767926302954,3.923,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,104,104,104,1,1,0,0
104,4.284,3,0.36,48.92134721358435,3.924,PRESERVING,PASS,continuous_reference_residual_valid_optimizer_reported_success,PASS,0.36,48.92134721358435,3.924,PRESERVING,PASS,True,0,0,0.0,EXACT_AGREEMENT,105,105,105,1,1,0,0
